v-sweep;V(/out1);user1;
1.581;2.37798e-06;-6.07372e-05;
1.582;2.318e-06;-5.92301e-05;
1.583;2.25952e-06;-5.77595e-05;
1.584;2.20248e-06;-5.63245e-05;
1.585;2.14687e-06;-5.49243e-05;
1.586;2.09263e-06;-5.35581e-05;
1.587;2.03975e-06;-5.22251e-05;
1.588;1.98818e-06;-5.09244e-05;
1.589;1.9379e-06;-4.96554e-05;
1.59;1.88887e-06;-4.84173e-05;
1.591;1.84107e-06;-4.72094e-05;
1.592;1.79445e-06;-4.60309e-05;
1.593;1.74901e-06;-4.48812e-05;
1.594;1.70469e-06;-4.37595e-05;
1.595;1.66149e-06;-4.26653e-05;
1.596;1.61936e-06;-4.15978e-05;
1.597;1.57829e-06;-4.05565e-05;
1.598;1.53825e-06;-3.95407e-05;
1.599;1.49921e-06;-3.85498e-05;
1.6;1.46115e-06;-3.75832e-05;
1.601;1.42404e-06;-3.66404e-05;
1.602;1.38787e-06;-3.57207e-05;
1.603;1.3526e-06;-3.48236e-05;
1.604;1.31822e-06;-3.39487e-05;
1.605;1.2847e-06;-3.30952e-05;
1.606;1.25203e-06;-3.22629e-05;
1.607;1.22018e-06;-3.1451e-05;
1.608;1.18913e-06;-3.06592e-05;
1.609;1.15886e-06;-2.98869e-05;
1.61;1.12935e-06;-2.91338e-05;
1.611;1.10059e-06;-2.83992e-05;
1.612;1.07256e-06;-2.76829e-05;
1.613;1.04523e-06;-2.69843e-05;
1.614;1.01859e-06;-2.6303e-05;
1.615;9.92621e-07;-2.56386e-05;
1.616;9.6731e-07;-2.49907e-05;
1.617;9.42639e-07;-2.43589e-05;
1.618;9.18592e-07;-2.37428e-05;
1.619;8.95154e-07;-2.3142e-05;
1.62;8.72308e-07;-2.25562e-05;
1.621;8.50041e-07;-2.19849e-05;
1.622;8.28338e-07;-2.14279e-05;
1.623;8.07186e-07;-2.08848e-05;
1.624;7.86569e-07;-2.03552e-05;
1.625;7.66475e-07;-1.98388e-05;
1.626;7.46891e-07;-1.93354e-05;
1.627;7.27804e-07;-1.88445e-05;
1.628;7.09202e-07;-1.83659e-05;
1.629;6.91073e-07;-1.78992e-05;
1.63;6.73404e-07;-1.74443e-05;
1.631;6.56184e-07;-1.70007e-05;
1.632;6.39402e-07;-1.65683e-05;
1.633;6.23048e-07;-1.61467e-05;
1.634;6.07109e-07;-1.57356e-05;
1.635;5.91576e-07;-1.53349e-05;
1.636;5.76439e-07;-1.49443e-05;
1.637;5.61688e-07;-1.45635e-05;
1.638;5.47312e-07;-1.41922e-05;
1.639;5.33303e-07;-1.38303e-05;
1.64;5.19652e-07;-1.34775e-05;
1.641;5.06348e-07;-1.31336e-05;
1.642;4.93385e-07;-1.27983e-05;
1.643;4.80752e-07;-1.24715e-05;
1.644;4.68442e-07;-1.2153e-05;
1.645;4.56446e-07;-1.18424e-05;
1.646;4.44757e-07;-1.15397e-05;
1.647;4.33366e-07;-1.12447e-05;
1.648;4.22267e-07;-1.09571e-05;
1.649;4.11452e-07;-1.06768e-05;
1.65;4.00914e-07;-1.04036e-05;
1.651;3.90645e-07;-1.01372e-05;
1.652;3.80639e-07;-9.87766e-06;
1.653;3.7089e-07;-9.62465e-06;
1.654;3.6139e-07;-9.37806e-06;
1.655;3.52134e-07;-9.13772e-06;
1.656;3.43115e-07;-8.90347e-06;
1.657;3.34327e-07;-8.67516e-06;
1.658;3.25764e-07;-8.45264e-06;
1.659;3.17421e-07;-8.23578e-06;
1.66;3.09293e-07;-8.02442e-06;
1.661;3.01373e-07;-7.81843e-06;
1.662;2.93656e-07;-7.61768e-06;
1.663;2.86137e-07;-7.42204e-06;
1.664;2.78812e-07;-7.23137e-06;
1.665;2.71674e-07;-7.04555e-06;
1.666;2.64721e-07;-6.86446e-06;
1.667;2.57946e-07;-6.68799e-06;
1.668;2.51345e-07;-6.51601e-06;
1.669;2.44913e-07;-6.34841e-06;
1.67;2.38648e-07;-6.18509e-06;
1.671;2.32543e-07;-6.02593e-06;
1.672;2.26596e-07;-5.87083e-06;
1.673;2.20802e-07;-5.71969e-06;
1.674;2.15157e-07;-5.57241e-06;
1.675;2.09657e-07;-5.42889e-06;
1.676;2.04299e-07;-5.28904e-06;
1.677;1.99079e-07;-5.15276e-06;
1.678;1.93993e-07;-5.01996e-06;
1.679;1.89039e-07;-4.89056e-06;
1.68;1.84212e-07;-4.76447e-06;
1.681;1.7951e-07;-4.64161e-06;
1.682;1.74929e-07;-4.52189e-06;
1.683;1.70466e-07;-4.40524e-06;
1.684;1.66118e-07;-4.29158e-06;
1.685;1.61883e-07;-4.18082e-06;
1.686;1.57757e-07;-4.07291e-06;
1.687;1.53737e-07;-3.96776e-06;
1.688;1.49821e-07;-3.86531e-06;
1.689;1.46007e-07;-3.76548e-06;
1.69;1.4229e-07;-3.66822e-06;
1.691;1.3867e-07;-3.57346e-06;
1.692;1.35143e-07;-3.48112e-06;
1.693;1.31708e-07;-3.39116e-06;
1.694;1.28361e-07;-3.30351e-06;
1.695;1.25101e-07;-3.2181e-06;
1.696;1.21925e-07;-3.1349e-06;
1.697;1.18831e-07;-3.05383e-06;
1.698;1.15817e-07;-2.97485e-06;
1.699;1.12881e-07;-2.8979e-06;
1.7;1.10021e-07;-2.82292e-06;
1.701;1.07235e-07;-2.74988e-06;
1.702;1.04522e-07;-2.67872e-06;
1.703;1.01878e-07;-2.60939e-06;
1.704;9.93029e-08;-2.54184e-06;
1.705;9.67944e-08;-2.47603e-06;
1.706;9.43508e-08;-2.41192e-06;
1.707;9.19705e-08;-2.34946e-06;
1.708;8.96519e-08;-2.28861e-06;
1.709;8.73933e-08;-2.22933e-06;
1.71;8.51932e-08;-2.17158e-06;
1.711;8.30502e-08;-2.11531e-06;
1.712;8.09626e-08;-2.0605e-06;
1.713;7.89292e-08;-2.0071e-06;
1.714;7.69484e-08;-1.95508e-06;
1.715;7.5019e-08;-1.9044e-06;
1.716;7.31396e-08;-1.85503e-06;
1.717;7.13089e-08;-1.80694e-06;
1.718;6.95257e-08;-1.76008e-06;
1.719;6.77888e-08;-1.71444e-06;
1.72;6.60969e-08;-1.66998e-06;
1.721;6.44488e-08;-1.62666e-06;
1.722;6.28435e-08;-1.58446e-06;
1.723;6.12799e-08;-1.54336e-06;
1.724;5.97568e-08;-1.50332e-06;
1.725;5.82733e-08;-1.46431e-06;
1.726;5.68282e-08;-1.42631e-06;
1.727;5.54206e-08;-1.3893e-06;
1.728;5.40496e-08;-1.35324e-06;
1.729;5.27142e-08;-1.31811e-06;
1.73;5.14134e-08;-1.2839e-06;
1.731;5.01464e-08;-1.25057e-06;
1.732;4.89122e-08;-1.2181e-06;
1.733;4.77102e-08;-1.18647e-06;
1.734;4.65393e-08;-1.15566e-06;
1.735;4.53988e-08;-1.12565e-06;
1.736;4.4288e-08;-1.09642e-06;
1.737;4.3206e-08;-1.06795e-06;
1.738;4.21521e-08;-1.04021e-06;
1.739;4.11256e-08;-1.01319e-06;
1.74;4.01257e-08;-9.8687e-07;
1.741;3.91518e-08;-9.61234e-07;
1.742;3.82033e-08;-9.36262e-07;
1.743;3.72793e-08;-9.11938e-07;
1.744;3.63794e-08;-8.88244e-07;
1.745;3.55028e-08;-8.65165e-07;
1.746;3.46491e-08;-8.42684e-07;
1.747;3.38175e-08;-8.20787e-07;
1.748;3.30075e-08;-7.99457e-07;
1.749;3.22185e-08;-7.78682e-07;
1.75;3.14501e-08;-7.58445e-07;
1.751;3.07017e-08;-7.38733e-07;
1.752;2.99727e-08;-7.19533e-07;
1.753;2.92626e-08;-7.00832e-07;
1.754;2.8571e-08;-6.82616e-07;
1.755;2.78974e-08;-6.64873e-07;
1.756;2.72412e-08;-6.47591e-07;
1.757;2.66022e-08;-6.30757e-07;
1.758;2.59797e-08;-6.14361e-07;
1.759;2.53735e-08;-5.98391e-07;
1.76;2.47829e-08;-5.82836e-07;
1.761;2.42078e-08;-5.67684e-07;
1.762;2.36476e-08;-5.52927e-07;
1.763;2.31019e-08;-5.38553e-07;
1.764;2.25705e-08;-5.24552e-07;
1.765;2.20528e-08;-5.10916e-07;
1.766;2.15486e-08;-4.97633e-07;
1.767;2.10576e-08;-4.84697e-07;
1.768;2.05792e-08;-4.72096e-07;
1.769;2.01134e-08;-4.59823e-07;
1.77;1.96596e-08;-4.47869e-07;
1.771;1.92176e-08;-4.36227e-07;
1.772;1.87871e-08;-4.24887e-07;
1.773;1.83679e-08;-4.13841e-07;
1.774;1.79595e-08;-4.03083e-07;
1.775;1.75617e-08;-3.92605e-07;
1.776;1.71743e-08;-3.824e-07;
1.777;1.67969e-08;-3.7246e-07;
1.778;1.64293e-08;-3.62779e-07;
1.779;1.60713e-08;-3.5335e-07;
1.78;1.57226e-08;-3.44166e-07;
1.781;1.5383e-08;-3.35221e-07;
1.782;1.50522e-08;-3.26509e-07;
1.783;1.473e-08;-3.18023e-07;
1.784;1.44161e-08;-3.09759e-07;
1.785;1.41105e-08;-3.01709e-07;
1.786;1.38127e-08;-2.93869e-07;
1.787;1.35227e-08;-2.86234e-07;
1.788;1.32403e-08;-2.78797e-07;
1.789;1.29651e-08;-2.71554e-07;
1.79;1.26972e-08;-2.64499e-07;
1.791;1.24361e-08;-2.57628e-07;
1.792;1.21819e-08;-2.50936e-07;
1.793;1.19343e-08;-2.44418e-07;
1.794;1.16931e-08;-2.3807e-07;
1.795;1.14581e-08;-2.31888e-07;
1.796;1.12293e-08;-2.25866e-07;
1.797;1.10064e-08;-2.20002e-07;
1.798;1.07893e-08;-2.1429e-07;
1.799;1.05778e-08;-2.08727e-07;
1.8;1.03718e-08;-2.03237e-07;
