v-sweep;V(/out2);user0;
0;1.8;-4.97821e-07;
0.001;1.8;-5.25965e-07;
0.002;1.8;-5.43934e-07;
0.003;1.8;-5.55203e-07;
0.004;1.8;-5.70292e-07;
0.005;1.8;-5.86078e-07;
0.006;1.8;-6.02017e-07;
0.007;1.8;-6.18374e-07;
0.008;1.8;-6.35393e-07;
0.009;1.8;-6.52765e-07;
0.01;1.8;-6.70676e-07;
0.011;1.8;-6.89058e-07;
0.012;1.8;-7.07816e-07;
0.013;1.8;-7.27237e-07;
0.014;1.8;-7.47233e-07;
0.015;1.8;-7.67617e-07;
0.016;1.8;-7.88622e-07;
0.017;1.8;-8.10243e-07;
0.018;1.8;-8.32486e-07;
0.019;1.8;-8.55192e-07;
0.02;1.8;-8.78579e-07;
0.021;1.8;-9.02743e-07;
0.022;1.8;-9.27382e-07;
0.023;1.8;-9.52809e-07;
0.024;1.8;-9.78876e-07;
0.025;1.8;-1.00568e-06;
0.026;1.8;-1.03337e-06;
0.027;1.8;-1.06165e-06;
0.028;1.8;-1.09062e-06;
0.029;1.8;-1.12051e-06;
0.03;1.8;-1.1513e-06;
0.031;1.8;-1.18288e-06;
0.032;1.8;-1.21526e-06;
0.033;1.8;-1.24847e-06;
0.034;1.8;-1.28273e-06;
0.035;1.8;-1.31787e-06;
0.036;1.8;-1.35399e-06;
0.037;1.8;-1.39108e-06;
0.038;1.8;-1.42926e-06;
0.039;1.8;-1.46846e-06;
0.04;1.8;-1.5086e-06;
0.041;1.8;-1.55e-06;
0.042;1.8;-1.59244e-06;
0.043;1.8;-1.63611e-06;
0.044;1.8;-1.68101e-06;
0.045;1.8;-1.72703e-06;
0.046;1.8;-1.77439e-06;
0.047;1.8;-1.8231e-06;
0.048;1.8;-1.87295e-06;
0.049;1.8;-1.92429e-06;
0.05;1.8;-1.97713e-06;
0.051;1.8;-2.03125e-06;
0.052;1.8;-2.08698e-06;
0.053;1.8;-2.14426e-06;
0.054;1.8;-2.20302e-06;
0.055;1.8;-2.26322e-06;
0.056;1.8;-2.32534e-06;
0.057;1.8;-2.38914e-06;
0.058;1.8;-2.4546e-06;
0.059;1.8;-2.52193e-06;
0.06;1.8;-2.59103e-06;
0.061;1.8;-2.66208e-06;
0.062;1.8;-2.73507e-06;
0.063;1.8;-2.80988e-06;
0.064;1.8;-2.88699e-06;
0.065;1.8;-2.96633e-06;
0.066;1.8;-3.04748e-06;
0.067;1.8;-3.13089e-06;
0.068;1.8;-3.21671e-06;
0.069;1.8;-3.30507e-06;
0.07;1.8;-3.39568e-06;
0.071;1.8;-3.48855e-06;
0.072;1.8;-3.5842e-06;
0.073;1.8;-3.68242e-06;
0.074;1.8;-3.78333e-06;
0.075;1.8;-3.88723e-06;
0.076;1.8;-3.99365e-06;
