time;V(/in);V(/out);
2,1328e-11;0;1,8;
2,1428e-11;0;1,8;
2,1528e-11;0;1,8;
2,1628e-11;0;1,8;
2,1728e-11;0;1,8;
2,1828e-11;0;1,8;
2,1928e-11;0;1,8;
2,2028e-11;0;1,8;
2,2128e-11;0;1,8;
2,2228e-11;0;1,8;
2,2328e-11;0;1,8;
2,2428e-11;0;1,8;
2,2528e-11;0;1,8;
2,2628e-11;0;1,8;
2,2728e-11;0;1,8;
2,2828e-11;0;1,8;
2,2928e-11;0;1,8;
2,3028e-11;0;1,8;
2,3128e-11;0;1,8;
2,3228e-11;0;1,8;
2,3328e-11;0;1,8;
2,3428e-11;0;1,8;
2,3528e-11;0;1,8;
2,3628e-11;0;1,8;
2,3728e-11;0;1,8;
2,3828e-11;0;1,8;
2,3928e-11;0;1,8;
2,4028e-11;0;1,8;
2,4128e-11;0;1,8;
2,4228e-11;0;1,8;
2,4328e-11;0;1,8;
2,4428e-11;0;1,8;
2,4528e-11;0;1,8;
2,4628e-11;0;1,8;
2,4728e-11;0;1,8;
2,4828e-11;0;1,8;
2,4928e-11;0;1,8;
2,5028e-11;0;1,8;
2,5128e-11;0;1,8;
2,5228e-11;0;1,8;
2,5328e-11;0;1,8;
2,5428e-11;0;1,8;
2,5528e-11;0;1,8;
2,5628e-11;0;1,8;
2,5728e-11;0;1,8;
2,5828e-11;0;1,8;
2,5928e-11;0;1,8;
2,6028e-11;0;1,8;
2,6128e-11;0;1,8;
2,6228e-11;0;1,8;
2,6328e-11;0;1,8;
2,6428e-11;0;1,8;
2,6528e-11;0;1,8;
2,6628e-11;0;1,8;
2,6728e-11;0;1,8;
2,6828e-11;0;1,8;
2,6928e-11;0;1,8;
2,7028e-11;0;1,8;
2,7128e-11;0;1,8;
2,7228e-11;0;1,8;
2,7328e-11;0;1,8;
2,7428e-11;0;1,8;
2,7528e-11;0;1,8;
2,7628e-11;0;1,8;
2,7728e-11;0;1,8;
2,7828e-11;0;1,8;
2,7928e-11;0;1,8;
